handle,domain,eligible_for_bounty
oportun_vdp,arij.oportun.com,False
oportun_vdp,callback.oportun.com,False
oportun_vdp,collections.oportun.com,False
oportun_vdp,confluence.oportun.com,False
oportun_vdp,creditcard.oportun.com,False
oportun_vdp,digit-gateway-prod1.oportun.com,False
oportun_vdp,ecneulfnoc.oportun.com,False
oportun_vdp,jira.oportun.com,False
oportun_vdp,juno-srs.oportun.com,False
oportun_vdp,kiosk.oportun.com,False
oportun_vdp,oe.oportun.com,False
oportun_vdp,oe1.oportun.com,False
oportun_vdp,offers.oportun.com,False
oportun_vdp,operations.oportun.com,False
oportun_vdp,quickapply.oportun.com,False
oportun_vdp,services.oportun.com,False
oportun_vdp,space.oportun.com,False
moov,gateway.moov.io,False
moov,oss.moov.io,False
moov,cards.moov.io,False
moov,infra-oss.moov.io,False
moov,api.moov.io,False
moov,moov.io,False
moov,dashboard.moov.io,False
moov,dashboard.moov.io,False
moov,api.moov.io,False
moov,cards.moov.io,False
moov,gateway.moov.io,False
moov,infra-oss.moov.io,False
moov,moov.io,False
moov,oss.moov.io,False
tim_hortons_vdp,*api.timsfinancial.ca,False
tim_hortons_vdp,*timsfinancial.ca,False
tim_hortons_vdp,*timsfinancial.ca,False
tim_hortons_vdp,*api.timsfinancial.ca,False
tim_hortons_vdp,https://use1-staging-th.rbictg.com/graphql,False
6sense-vdp,https://6sense.com/platform/sales/signup,False
6sense-vdp,https://chromewebstore.google.com/detail/6sense-si-extension-for-c/mkpoonlmiaknmcdcmdhbnehhglndcolf?hl=en,False
insightly,outlook.insightly.com,True
insightly,mobileapi.na1.insightly.com,True
insightly,mobileapi.insightly.com,True
insightly,marketing.na1.insightly.com,True
insightly,accounts.insightly.com,True
insightly,login.insightly.com,True
insightly,crm.na1.insightly.com,True
insightly,crm.na1.insightly.com,True
insightly,accounts.insightly.com,True
insightly,outlook.insightly.com,True
insightly,mobileapi.na1.insightly.com,True
insightly,http://api.insightly.com/v3.1/,True
insightly,login.insightly.com,True
insightly,mobileapi.insightly.com,True
insightly,http://api.na1.insightly.com/v3.1/,True
insightly,marketing.na1.insightly.com,True
productboard,*.satismeter.com,False
productboard,*.productboard.com,False
productboard,*.productboard.com,False
productboard,*.satismeter.com,False
render,render.com,False
render,dashboard.render.com,False
render,render.com,False
render,dashboard.render.com,False
timelycare,sandbox.timelycare.com,False
timelycare,sandbox.timelycare.com,False
dib-vdp,47.206.114.79,False
dib-vdp,74.85.94.213,False
dib-vdp,74.85.94.211,False
dib-vdp,gw-cpep.esailcloud.com,False
dib-vdp,gw-sea.esailcloud.com,False
dib-vdp,gw.esailcloud.com,False
dib-vdp,sdpgw01.cymycloud.com,False
dib-vdp,gw01.cymycloud.com,False
dib-vdp,gw02.cymycloud.com,False
dib-vdp,ns1.ext.cymycloud.com,False
dib-vdp,ns2.ext.cymycloud.com,False
dib-vdp,sdpcon01.cymycloud.com,False
dib-vdp,tenant-mail01.orl01.cymycloud.com,False
dib-vdp,tenant-svc-fw-01.orl01.cymycloud.com,False
dib-vdp,tenantgw01.orl01.cymycloud.com,False
dib-vdp,cm-gw01.cybermyte.io,False
dib-vdp,admin-edge01.orl01.cymycloud.io,False
dib-vdp,admin-sdpcon01.orl01.cymycloud.io,False
dib-vdp,learning.raicescyberacademy.org,False
dib-vdp,*.hxfivelaunch.com,False
dib-vdp,*.dese.com,False
dib-vdp,*.alex-as.com,False
dib-vdp,*.alexamerican.com,False
dib-vdp,*.americansystems.com,False
dib-vdp,*.autodiscover.americansystems.com,False
dib-vdp,*.ddlomni.com,False
dib-vdp,*.nhaero.com,False
dib-vdp,*.coalfirefederal.com,False
dib-vdp,https://www.nucleussec.com,False
dib-vdp,http://www.nucleussec.com,False
dib-vdp,47.206.114.79,False
dib-vdp,https://test.nucleussec.com,False
dib-vdp,http://umdintl.sharepoint.us,False
dib-vdp,http://hxfive.sharepoint.com,False
dib-vdp,http://test.nucleussec.com,False
dib-vdp,http://hxfiveservice.com,False
dib-vdp,http://hxfive.com,False
dib-vdp,electroimpact.com,False
dib-vdp,www.ariacoustics.com,False
dib-vdp,74.85.94.220,False
dib-vdp,74.85.94.215,False
dib-vdp,74.85.94.213,False
dib-vdp,74.85.94.212,False
dib-vdp,74.85.94.211,False
dib-vdp,76.191.116.189,False
dib-vdp,76.191.116.187,False
dib-vdp,76.191.116.185,False
dib-vdp,76.191.116.183,False
dib-vdp,gw-alex.esailcloud.com,False
dib-vdp,gw-cpep.esailcloud.com,False
dib-vdp,gw-sea.esailcloud.com,False
dib-vdp,gw.esailcloud.com,False
dib-vdp,public.esailcloud.com,False
dib-vdp,http://vpn.elevi.net,False
dib-vdp,http://www.elevi.net,False
dib-vdp,sdpgw01.cymycloud.com,False
dib-vdp,gw01.cymycloud.com,False
dib-vdp,gw02.cymycloud.com,False
dib-vdp,ns1.ext.cymycloud.com,False
dib-vdp,ns2.ext.cymycloud.com,False
dib-vdp,sdpcon01.cymycloud.com,False
dib-vdp,tenant-mail01.orl01.cymycloud.com,False
dib-vdp,tenant-svc-fw-01.orl01.cymycloud.com,False
dib-vdp,tenantgw01.orl01.cymycloud.com,False
dib-vdp,cm-gw01.cybermyte.io,False
dib-vdp,http://cybermyte.io,False
dib-vdp,admin-edge01.orl01.cymycloud.io,False
dib-vdp,admin-sdpcon01.orl01.cymycloud.io,False
dib-vdp,38.77.128.194,False
dib-vdp,learning.raicescyberacademy.org,False
dib-vdp,www.raicescon.org,False
dib-vdp,milrecruiter.com,False
dib-vdp,mail01.orl01.cymysecure.com,False
dib-vdp,38.77.128.195,False
dib-vdp,challenge.cymy.io,False
dib-vdp,dev-edge01.cymy.io,False
dib-vdp,dev-gw01.cymy.io,False
dib-vdp,dev-sdp01.cymy.io,False
dib-vdp,https://access-auth.caci.com,False
dib-vdp,https://access-dr-auth.caci.com,False
dib-vdp,https://acquisitions.caci.com,False
dib-vdp,https://apps.caci.com,False
dib-vdp,https://artifactory.csde.caci.com,False
dib-vdp,https://bglogin.caci.com,False
dib-vdp,https://blackduck-com.caci.com,False
dib-vdp,https://cast.caci.com,False
dib-vdp,https://castportal.caci.com,False
dib-vdp,https://cfa1.caci.com,False
dib-vdp,https://cic.caci.com,False
dib-vdp,https://cis-epm.caci.com,False
dib-vdp,https://cis-epohdlr-02a.caci.com,False
dib-vdp,https://cis-tpm.caci.com,False
dib-vdp,https://cmr.caci.com,False
dib-vdp,https://codeguardian-veeam.caci.com,False
dib-vdp,https://comprizon.caci.com,False
dib-vdp,https://confluence.csde.caci.com,False
dib-vdp,https://controlleddelivery.caci.com,False
dib-vdp,https://corianservicedesk.caci.com,False
dib-vdp,https://cp.caci.com,False
dib-vdp,https://cptestnext.caci.com,False
dib-vdp,https://csde.caci.com,False
dib-vdp,https://csgsurveys.caci.com,False
dib-vdp,https://delivery.caci.com,False
dib-vdp,https://draco.caci.com,False
dib-vdp,https://ext-ebsods.caci.com,False
dib-vdp,https://ext-ebsodsoauth.caci.com,False
dib-vdp,https://extpass.caci.com,False
dib-vdp,https://gitlab.csde.caci.com,False
dib-vdp,https://harbor.csde.caci.com,False
dib-vdp,https://home.caci.com,False
dib-vdp,https://hudocfo.caci.com,False
dib-vdp,https://irmai.caci.com,False
dib-vdp,https://jenkins.nm.caci.com,False
dib-vdp,https://jira.cirras.caci.com,False
dib-vdp,https://jira.csde.caci.com,False
dib-vdp,https://keycloak.csde.caci.com,False
dib-vdp,https://kurt-prod.caci.com,False
dib-vdp,https://lcv.caci.com,False
dib-vdp,https://lepus.caci.com,False
dib-vdp,https://libra.caci.com,False
dib-vdp,https://login.caci.com,False
dib-vdp,https://mimir.caci.com,False
dib-vdp,https://mockup.smds.caci.com,False
dib-vdp,https://moveit.caci.com,False
dib-vdp,https://mybd.caci.com,False
dib-vdp,https://mydesktop.caci.com,False
dib-vdp,https://mydesktopdr.caci.com,False
dib-vdp,https://mysites.caci.com,False
dib-vdp,https://passchange.caci.com,False
dib-vdp,https://plantuml.csde.caci.com,False
dib-vdp,https://pricingrequest.caci.com,False
dib-vdp,https://quarantine.caci.com,False
dib-vdp,https://registry.csde.caci.com,False
dib-vdp,https://rts.caci.com,False
dib-vdp,https://sccmextmp01a.caci.com,False
dib-vdp,https://sonarqube.csde.caci.com,False
dib-vdp,https://spa.caci.com,False
dib-vdp,https://spssite.caci.com,False
dib-vdp,https://subktemp.caci.com,False
dib-vdp,https://support.caci.com,False
dib-vdp,https://talxsso.caci.com,False
dib-vdp,https://test.smds.caci.com,False
dib-vdp,https://tokenchange.caci.com,False
dib-vdp,https://vault.csde.caci.com,False
dib-vdp,https://vpc.caci.com,False
dib-vdp,https://wacweb.caci.com,False
dib-vdp,https://webmail.caci.com,False
dib-vdp,https://wikiplus.caci.com,False
dib-vdp,https://www.askit.caci.com,False
dib-vdp,https://www.corianconfluence.caci.com,False
dib-vdp,https://www.csde.caci.com,False
dib-vdp,https://ganymede.cacicorenet.com,False
dib-vdp,https://login.cacicorenet.com,False
dib-vdp,https://passchange.cacicorenet.com,False
dib-vdp,https://tokenchange.cacicorenet.com,False
dib-vdp,https://www.hqig4portal2.com,False
dib-vdp,https://www.idtec.com,False
dib-vdp,https://www.saphotonics.com,False
dib-vdp,https://vdi.lgsinnovations.com,False
dib-vdp,http://da1dc2.centurum.com,False
dib-vdp,https://da1dc2.centurum.com,False
dib-vdp,https://support.centurum.com,False
dib-vdp,https://corp.cybermyte.io,False
dib-vdp,https://becosmwdepository.com,False
dib-vdp,https://connect.americansystems.com,False
dib-vdp,https://enterpriseenrollment.americansystems.com,False
dib-vdp,https://nextcloud.lata.com,False
dib-vdp,https://nhaero.com,False
dib-vdp,https://oss.ultipro.com,False
dib-vdp,https://theossteam.com,False
dib-vdp,https://theossteam.unanet-gc.biz,False
dib-vdp,https://txlaorcdepository.com,False
dib-vdp,https://apps.signaturescience.com,False
dib-vdp,https://aus-gp.signaturescience.com,False
dib-vdp,https://blade.signaturescience.com,False
dib-vdp,https://cho-gp.signaturescience.com,False
dib-vdp,https://erequester.signaturescience.com,False
dib-vdp,https://ftp.signaturescience.com,False
dib-vdp,https://jontest.signaturescience.com,False
dib-vdp,https://www.signaturescience.com,False
dib-vdp,https://logmastre.mantech.com,False
dib-vdp,https://share.mantech.com,False
dib-vdp,https://www.mantech.com,False
dib-vdp,https://data.odin-el.com,False
dib-vdp,https://namtssts.odin-el.com,False
dib-vdp,https://training.odin-el.com,False
dib-vdp,https://gitlab.htsi-al.com,False
dib-vdp,https://sonarqube.htsi-al.com,False
dib-vdp,https://adfs.valkyrie.com,False
dib-vdp,https://namts.valkyrie.com,False
dib-vdp,https://sharepoint.valkyrie.com,False
dib-vdp,https://unicorn.valkyrie.com,False
dib-vdp,https://abo1vpn.ddns.net,False
dib-vdp,https://vpmo.act-corp.com,False
dib-vdp,https://cm-optronics.ddns.net,False
dib-vdp,https://cso1vpn.ddns.net,False
dib-vdp,https://cstdatanet.com,False
dib-vdp,https://goaeis.com,False
dib-vdp,https://gitlab.hilltechnicalsolutions.com,False
dib-vdp,https://www.jtlsgo.com,False
dib-vdp,https://mitt-eis.com,False
dib-vdp,https://data.namtsqpr.com,False
dib-vdp,https://www.rolands.com,False
dib-vdp,https://safran-dsi.com,False
dib-vdp,https://simivalleyvpn.ddns.net,False
dib-vdp,coalfirefederal.com,False
dib-vdp,http://www.coalfirefederal.com,False
dib-vdp,https://reseller.marlocoil.com,False
dib-vdp,https://supplierportal.drs.com,False
dib-vdp,https://transfer.drs.com,False
dib-vdp,https://www.daylightsolutions.com,False
dib-vdp,https://www.drsrada.com,False
dib-vdp,https://www.leonardodrs.com,False
dib-vdp,https://www.marlocoil.com,False
dib-vdp,https://www.radausa.com,False
circle-bbp,api.circle.com,True
circle-bbp,console.circle.com,True
circle-bbp,app.circle.com,True
circle-bbp,api.circle.com,True
circle-bbp,app.circle.com,True
circle-bbp,console.circle.com,True
varonis,*.varonis.net,True
varonis,*.varonis.io,True
varonis,*.varonis.com,True
varonis,*.varonis.com,True
varonis,*.varonis.io,True
varonis,*.varonis.net,True
netflix,*.nflximg.net,True
netflix,*.nflxso.net,True
netflix,nmtracking.netflix.com,True
netflix,ichnaea.netflix.com,True
netflix,beacon.netflix.com,True
netflix,*.prod.ftl.netflix.com,True
netflix,*.nflxvideo.net,True
netflix,*.prod.dradis.netflix.com,True
netflix,presentationtracking.netflix.com,True
netflix,meechum.netflix.com,True
netflix,*.nflxext.com,True
netflix,*.prod.cloud.netflix.com,True
netflix,secure.netflix.com,True
netflix,customerevents.netflix.com,True
netflix,help.netflix.com,True
netflix,www.netflix.com,True
netflix,*.nflxext.com,True
netflix,*.prod.ftl.netflix.com,True
netflix,*.prod.cloud.netflix.com,True
netflix,*.nflxvideo.net,True
netflix,*.prod.dradis.netflix.com,True
netflix,*.nflximg.net,True
netflix,*.nflxso.net,True
netflix,www.netflix.com,True
netflix,beacon.netflix.com,True
netflix,customerevents.netflix.com,True
netflix,secure.netflix.com,True
netflix,help.netflix.com,True
netflix,ichnaea.netflix.com,True
netflix,presentationtracking.netflix.com,True
netflix,nmtracking.netflix.com,True
netflix,meechum.netflix.com,True
early_warning,platformtest.cat.earlywarning.io,True
early_warning,platform.cat.earlywarning.io,True
early_warning,api.zellepay.com,True
early_warning,earlywarningapi.force.com,True
early_warning,*.zelle.com,True
early_warning,ews-fusion.my.site.com,True
early_warning,zelleservice.my.site.com,True
early_warning,zellepay.force.com,True
early_warning,*.clearxchange.com,True
early_warning,api.zmsp.earlywarning.com,True
early_warning,*.earlywarning.com,True
early_warning,*.zellepay.com,True
early_warning,*.zellepay.com,True
early_warning,*.earlywarning.com,True
early_warning,*.clearxchange.com,True
early_warning,*.zelle.com,True
early_warning,api.zellepay.com,True
early_warning,api.zmsp.earlywarning.com,True
early_warning,platformtest.cat.earlywarning.io,True
early_warning,https://mywallet-management-east.wallet.cat.earlywarning.io/,True
early_warning,https://mywallet-management-west.wallet.cat.earlywarning.io/,True
early_warning,https://sandbox.digitalwallet.earlywarning.com,True
early_warning,earlywarningapi.force.com,True
early_warning,zellepay.force.com,True
early_warning,zelleservice.my.site.com,True
early_warning,ews-fusion.my.site.com,True
early_warning,platform.cat.earlywarning.io,True
koho,usercontent.koho.ca,True
koho,app.koho.ca,True
koho,www.koho.ca,True
koho,webgateway.koho.ca,True
koho,web.koho.ca,True
koho,web.koho.ca,True
koho,http://api.koho.ca/1.0,True
koho,http://api.koho.ca/partner,True
koho,app.koho.ca,True
koho,webgateway.koho.ca,True
koho,www.koho.ca,True
koho,usercontent.koho.ca,True
estee-lauder,aveda.it,False
estee-lauder,tomfordbeauty.com,False
estee-lauder,esteelauder.com,False
estee-lauder,tomfordbeauty.com,False
estee-lauder,aveda.it,False
estee-lauder,esteelauder.com,False
aeromexico_vdp,*.amlab7.com,False
aeromexico_vdp,*.aeromexico.com,False
aeromexico_vdp,*.aeromexico.com,False
aeromexico_vdp,*.amlab7.com,False
aeromexico_vdp,https://www.aeromexicobusiness.com,False
aeromexico_vdp,https://www.aeromexicovacations.com,False
aeromexico_vdp,https://www.aeromexicorewards.com,False
aeromexico_vdp,https://www.aeromexico.com/es-mx/aeromexico-rewards,False
aeromexico_vdp,https://amfacturacion.aeromexico.com,False
aeromexico_vdp,https://facturacion.aeromexico.com,False
aeromexico_vdp,https://portalfacturacioncargo.aeromexico.com,False
aeromexico_vdp,http://www.aeromexico-delta.com,False
aeromexico_vdp,http://www.delta-aeromexico.com,False
aeromexico_vdp,http://www.vuela.aeromexico.com,False
transunion,*.transunion.co.br,False
transunion,*.transunion.mx,False
transunion,*.neustarcare.com,False
transunion,*.cibilcreditreport.in,False
transunion,*.transuniondecisioncentre.co.in,False
transunion,*.transunionsolutions.co.in,False
transunion,*.transunion.hk,False
transunion,*.transunioncibil.com,False
transunion,*.transunion.co.uk,False
transunion,*.cibil.com,False
transunion,personalsolution.transunion.hk,False
transunion,gtm.transunion.com,False
transunion,healthcare.transunion.com,False
transunion,help.transunion.com,False
transunion,helpcenter.transunion.com,False
transunion,hk-help.transunion.com,False
transunion,hk-pvw.transunion.com,False
transunion,hk1-sip.transunion.com,False
transunion,hk1-wc.transunion.com,False
transunion,hko3w9ap01-extweb.transunion.com,False
transunion,hko3w9ap02-extweb.transunion.com,False
transunion,hko3w9ap03-extweb.transunion.com,False
transunion,hrcp-nebo.transunion.com,False
transunion,hrcp.transunion.com,False
transunion,hsp1.transunion.com,False
transunion,hybridmail.transunion.com,False
transunion,hybridsmtp.transunion.com,False
transunion,iamadmin.transunion.com,False
transunion,ias-tu-int.tui.transunion.com,False
transunion,ias.tui.transunion.com,False
transunion,icdservices-uat.transunion.com,False
transunion,identity-uat.transunion.com,False
transunion,identity.transunion.com,False
transunion,idmanager-sts.transunion.com,False
transunion,idmanager-uat.transunion.com,False
transunion,idmanager.transunion.com,False
transunion,idmart.transunion.com,False
transunion,idp.transunion.com,False
transunion,iimadmin.transunion.com,False
transunion,images.dgt.transunion.com,False
transunion,imvrs-uat.transunion.com,False
transunion,imvrs.transunion.com,False
transunion,inc.transunion.com,False
transunion,information.transunion.com,False
transunion,insummit.transunion.com,False
transunion,integrated.test.transunion.com,False
transunion,*.transunion.com,False
transunion,*.tui.transunion.com,False
transunion,*.transunion.co.za,False
transunion,*.transunionafrica.com,False
transunion,*.transunioncibil.com,False
transunion,*.transunion.hk,False
transunion,*.transunion.ph,False
transunion,*.transunion.co.uk,False
transunion,*.transunion.co.br,False
transunion,*.transunion.do,False
transunion,*.chile.transunion.com,False
transunion,*.transunioncentralamerica.com,False
transunion,*.transunion.mx,False
transunion,*.transunion.ca,False
transunion,*.neustar,False
transunion,*.neustar.biz,False
transunion,*.neustarcare.com,False
transunion,*.npac.com,False
transunion,*.cibil.com,False
transunion,*.cibilcreditreport.in,False
transunion,*.transuniondecisioncentre.co.in,False
transunion,*.transunionsolutions.co.in,False
transunion,*.transunion.com.br,False
transunion,*.crivo.com.br,False
transunion,*.zipcode.com.br,False
transunion,*.transunion.com.do,False
transunion,service.transunion.com,False
transunion,freeze.transunion.com,False
transunion,disclosure.transunion.com,False
transunion,dispute.transunion.com,False
transunion,fraud.transunion.com,False
transunion,checkmyscore.transunion.com,False
transunion,personalsolution.transunion.hk,False
transunion,164mail.transunion.com,False
transunion,access2-uat.decision.transunion.com,False
transunion,access2.decision.transunion.com,False
transunion,access3-uat.transunion.com,False
transunion,access3.transunion.com,False
transunion,administrationdirect-uat.transunion.com,False
transunion,administrationdirect.transunion.com,False
transunion,aeperformance.tui.transunion.com,False
transunion,aeresource-cvd.tui.transunion.com,False
transunion,aeresource.tui.transunion.com,False
transunion,aerest-cvd.tui.transunion.com,False
transunion,aerest.tui.transunion.com,False
transunion,agilecentral.transunion.com,False
transunion,alerts-uat.hsp.transunion.com,False
transunion,alerts.hsp.transunion.com,False
transunion,annualcreditreport.transunion.com,False
transunion,api-de-test.transunion.com,False
transunion,api-de.transunion.com,False
transunion,api-hc-test.transunion.com,False
transunion,api-hc.transunion.com,False
transunion,api-ipaas.transunion.com,False
transunion,api-mul-np.transunion.com,False
transunion,api-mul.transunion.com,False
transunion,api-np.transunion.com,False
transunion,api-stg.transunion.com,False
transunion,api.transunion.com,False
transunion,api02-stg.transunion.com,False
transunion,api1-stg.transunion.com,False
transunion,api1.transunion.com,False
transunion,apiaccess-test.transunion.com,False
transunion,apiaccess-uat.transunion.com,False
transunion,apiaccess.transunion.com,False
transunion,app.dgt.transunion.com,False
transunion,app1-dev-pub-alb.transunion.com,False
transunion,approvedata.transunion.com,False
transunion,apps-stg.transunion.com,False
transunion,apps.transunion.com,False
transunion,apps1-stg.transunion.com,False
transunion,apps1.transunion.com,False
transunion,archer.transunion.com,False
transunion,asc.transunion.com,False
transunion,ash02oobvpn.transunion.com,False
transunion,assocert.transunion.com,False
transunion,associatecert.transunion.com,False
transunion,attributemanager.transunion.com,False
transunion,audclient.transunion.com,False
transunion,authsvc.tui.transunion.com,False
transunion,autodiscover.corp.transunion.com,False
transunion,autodiscover.transunion.com,False
transunion,bdsacxiom-uat.transunion.com,False
transunion,bdswebsite-uat.transunion.com,False
transunion,blog.transunion.com,False
transunion,bpa.transunion.com,False
transunion,br-pvw.transunion.com,False
transunion,braimage.brasil.transunion.com,False
transunion,bralink.brasil.transunion.com,False
transunion,brand-stage.transunion.com,False
transunion,brand.transunion.com,False
transunion,braspf.brasil.transunion.com,False
transunion,bravenewworlds.transunion.com,False
transunion,buster-tu-int.tui.transunion.com,False
transunion,buster.tui.transunion.com,False
transunion,ca-pvw.transunion.com,False
transunion,capitaloneapi.tui.transunion.com,False
transunion,cast-event.transunion.com,False
transunion,cc2rest.tui.transunion.com,False
transunion,certuserdirect-uat.transunion.com,False
transunion,certuserdirect.transunion.com,False
transunion,cfed-ctf.transunion.com,False
transunion,cfed-ext.transunion.com,False
transunion,cfed-stg-ext.transunion.com,False
transunion,cfed-stg.transunion.com,False
transunion,cfed.transunion.com,False
transunion,cfedmc-stg.transunion.com,False
transunion,checkmyscore-pvw.transunion.com,False
transunion,chi03oobvpn.transunion.com,False
transunion,chile.transunion.com,False
transunion,chivpn-oms1.transunion.com,False
transunion,chivpn-stg.transunion.com,False
transunion,chivpn.transunion.com,False
transunion,chivpn2.transunion.com,False
transunion,chivpn3.transunion.com,False
transunion,chn01-oob.transunion.com,False
transunion,chn02-oob.transunion.com,False
transunion,chnvpn-lb.transunion.com,False
transunion,chnvpn.transunion.com,False
transunion,chnvpn2.transunion.com,False
transunion,ciamcrt.transunion.com,False
transunion,ciamfed.transunion.com,False
transunion,ciqa.transunion.com,False
transunion,cl-pvw.transunion.com,False
transunion,clarity.transunion.com,False
transunion,clientportal-stg.transunion.com,False
transunion,clientportal.transunion.com,False
transunion,cm-ctf.transunion.com,False
transunion,cm-stg.transunion.com,False
transunion,cm.transunion.com,False
transunion,cmspvw.transunion.com,False
transunion,cmsstage-web-guides.transunion.com,False
transunion,cmsstage.transunion.com,False
transunion,co-pvw.transunion.com,False
transunion,compassdriving.transunion.com,False
transunion,consumerconnect.tui.transunion.com,False
transunion,consumerconnectws.tui.transunion.com,False
transunion,consumerdispute-uat.transunion.com,False
transunion,consumerdispute.transunion.com,False
transunion,content.em-tuci.transunion.com,False
transunion,content.transunion.com,False
transunion,content.tui.transunion.com,False
transunion,conteudo.brasil.transunion.com,False
transunion,coupa-uat.transunion.com,False
transunion,coupa-uat2.transunion.com,False
transunion,courtclerkadmin.transunion.com,False
transunion,courtnamesadmin.transunion.com,False
transunion,creditretriever.transunion.com,False
transunion,crivo-test.transunion.com,False
transunion,crs3-ctf-certodic.transunion.com,False
transunion,crs3-ctf-oda.transunion.com,False
transunion,crs3-ctf-odic.transunion.com,False
transunion,crsnumericsearch-ctf.transunion.com,False
transunion,crsnumericsearch.transunion.com,False
transunion,css.transunion.com,False
transunion,ctsportal.transunion.com,False
transunion,custcert.transunion.com,False
transunion,cv.transunion.com,False
transunion,dachi.transunion.com,False
transunion,dachiuat.transunion.com,False
transunion,danl.transunion.com,False
transunion,dashboards.transunion.com,False
transunion,datagateway.transunion.com,False
transunion,datagatewayprofile.transunion.com,False
transunion,datapass.tui.transunion.com,False
transunion,de-test.transunion.com,False
transunion,de-tuci.transunion.com,False
transunion,de.transunion.com,False
transunion,decisioncentre-stg.transunion.com,False
transunion,decisioncentre-uat.transunion.com,False
transunion,decisioncentre.transunion.com,False
transunion,decisionedge.transunion.com,False
transunion,degreed.transunion.com,False
transunion,developer.transunion.com,False
transunion,dh-pvw.transunion.com,False
transunion,dialin.transunion.com,False
transunion,digitalcertdirect-uat.transunion.com,False
transunion,digitalcertdirect.transunion.com,False
transunion,direct-uat.transunion.com,False
transunion,direct.transunion.com,False
transunion,directaccess.transunion.com,False
transunion,directcontent.transunion.com,False
transunion,disclosureservices-ctf.transunion.com,False
transunion,disclosureservices.transunion.com,False
transunion,disputecenter.transunion.com,False
transunion,disputenotify.tui.transunion.com,False
transunion,do-pvw.transunion.com,False
transunion,eastafrica.transunion.com,False
transunion,edegftp-test.transunion.com,False
transunion,encrypted-test.transunion.com,False
transunion,encrypted.transunion.com,False
transunion,entuity-webhooks.transunion.com,False
transunion,es-help.transunion.com,False
transunion,etime.transunion.com,False
transunion,factory-beta.transunion.com,False
transunion,fch-test.transunion.com,False
transunion,fch.transunion.com,False
transunion,fedcorp.transunion.com,False
transunion,fedcorpauth.transunion.com,False
transunion,fedcust-uat.transunion.com,False
transunion,fedcust.transunion.com,False
transunion,fedcustauth.transunion.com,False
transunion,feedback.transunion.com,False
transunion,fieldmail.transunion.com,False
transunion,filereceiver.tui.transunion.com,False
transunion,filetransfer-uat.transunion.com,False
transunion,filetransfer.transunion.com,False
transunion,financialpathway-uat.transunion.com,False
transunion,financialpathway.transunion.com,False
transunion,fmo-uat.transunion.com,False
transunion,fssummit.transunion.com,False
transunion,fusion.transunion.com,False
transunion,get3-uat.transunion.com,False
transunion,get3.transunion.com,False
transunion,gfscs-console-staging.gcp.gfs.transunion.com,False
transunion,gfscs-console-uat-staging.gcp.gfs.transunion.com,False
transunion,gfscs-orchestration-staging.gcp.gfs.transunion.com,False
transunion,gfscs-orchestration-uat-staging.gcp.gfs.transunion.com,False
transunion,glm.transunion.com,False
transunion,global-mktg.transunion.com,False
transunion,globaldcdemo-uat.transunion.com,False
transunion,globaltech-stg.transunion.com,False
transunion,globaltech.transunion.com,False
transunion,go.transunion.com,False
transunion,goodworks.transunion.com,False
transunion,gtm.transunion.com,False
transunion,healthcare.transunion.com,False
transunion,help.transunion.com,False
transunion,helpcenter.transunion.com,False
transunion,hk-help.transunion.com,False
transunion,hk-pvw.transunion.com,False
transunion,hk1-sip.transunion.com,False
transunion,hk1-wc.transunion.com,False
transunion,hko3w9ap01-extweb.transunion.com,False
transunion,hko3w9ap02-extweb.transunion.com,False
transunion,hko3w9ap03-extweb.transunion.com,False
transunion,hrcp-nebo.transunion.com,False
transunion,hrcp.transunion.com,False
transunion,hsp1.transunion.com,False
transunion,hybridmail.transunion.com,False
transunion,hybridsmtp.transunion.com,False
transunion,iamadmin.transunion.com,False
transunion,ias-tu-int.tui.transunion.com,False
transunion,ias.tui.transunion.com,False
transunion,icdservices-uat.transunion.com,False
transunion,identity-uat.transunion.com,False
transunion,identity.transunion.com,False
transunion,idmanager-sts.transunion.com,False
transunion,idmanager-uat.transunion.com,False
transunion,idmanager.transunion.com,False
transunion,idmart.transunion.com,False
transunion,idp.transunion.com,False
transunion,iimadmin.transunion.com,False
transunion,images.dgt.transunion.com,False
transunion,imvrs-uat.transunion.com,False
transunion,imvrs.transunion.com,False
transunion,inc.transunion.com,False
transunion,information.transunion.com,False
transunion,insummit.transunion.com,False
transunion,integrated.test.transunion.com,False
transunion,investors.transunion.com,False
transunion,isaav.transunion.com,False
transunion,itrs-fch-test.transunion.com,False
transunion,itrs-fch.transunion.com,False
transunion,jcc.transunion.com,False
transunion,jobs.transunion.com,False
transunion,join.transunion.com,False
transunion,jss.transunion.com,False
transunion,km-ssltest.transunion.com,False
transunion,kyriba.transunion.com,False
transunion,learncore.transunion.com,False
transunion,legalrequest.transunion.com,False
transunion,lendprotect-intuat.transunion.com,False
transunion,lendprotect-uat.transunion.com,False
transunion,lendprotect.transunion.com,False
transunion,lendprotectuk.transunion.com,False
transunion,links.em-tuci.transunion.com,False
transunion,listserv.transunion.com,False
transunion,lon01vpn.transunion.com,False
transunion,lon01vpn2.transunion.com,False
transunion,lon02vpn.transunion.com,False
transunion,lon02vpn2.transunion.com,False
transunion,lonvpn-lb.transunion.com,False
transunion,lpdashboard-uat.transunion.com,False
transunion,lpdashboard.transunion.com,False
transunion,lyncdiscover.transunion.com,False
transunion,mail.transunion.com,False
transunion,marketing.transunion.com,False
